"","grupo","separado_clasica","separado_arbol","magnitude"
"1","E1794D-G5",FALSE,TRUE,"small"
"2","E1794D-G6",FALSE,TRUE,"small"
"3","E1794D-Q1785H",TRUE,TRUE,"moderate"
"4","E1794D-R1753T",TRUE,TRUE,"large"
"5","E1794D-V1804D",FALSE,FALSE,"negligible"
"6","G5-G6",FALSE,FALSE,"negligible"
"7","G5-Q1785H",FALSE,FALSE,"negligible"
"8","G5-R1753T",FALSE,TRUE,"small"
"9","G5-V1804D",FALSE,TRUE,"moderate"
"10","G6-Q1785H",FALSE,FALSE,"negligible"
"11","G6-R1753T",FALSE,TRUE,"small"
"12","G6-V1804D",FALSE,TRUE,"small"
"13","Q1785H-R1753T",FALSE,TRUE,"small"
"14","Q1785H-V1804D",TRUE,TRUE,"moderate"
"15","R1753T-V1804D",TRUE,TRUE,"large"
