"","grupo","separado_clasica","separado_arbol","magnitude"
"1","E1794D-G5",FALSE,TRUE,"moderate"
"2","E1794D-G6",FALSE,FALSE,"small"
"3","E1794D-Q1785H",FALSE,FALSE,"moderate"
"4","E1794D-R1753T",FALSE,FALSE,"negligible"
"5","E1794D-V1804D",FALSE,TRUE,"large"
"6","G5-G6",FALSE,TRUE,"moderate"
"7","G5-Q1785H",FALSE,TRUE,"moderate"
"8","G5-R1753T",FALSE,TRUE,"moderate"
"9","G5-V1804D",FALSE,TRUE,"small"
"10","G6-Q1785H",FALSE,FALSE,"negligible"
"11","G6-R1753T",FALSE,FALSE,"small"
"12","G6-V1804D",TRUE,TRUE,"large"
"13","Q1785H-R1753T",FALSE,FALSE,"small"
"14","Q1785H-V1804D",TRUE,TRUE,"large"
"15","R1753T-V1804D",FALSE,TRUE,"moderate"
